PES1017|Bóng chuyền hơi
MAT1042|Giải tích 2
EMA2007|Cơ học vật rắn biến dạng
EPN2029|Khoa học vật liệu đại cương
ELT3060|Kỹ thuật cao tần
INT3121|Các chuyên đề trong Khoa học Máy tính
EMA3005|Công nghệ chế tạo máy
EPN3055|Công nghệ chế tạo pin mặt trời
EMA3096|Công trình biển ngoài khơi độ tin cậy và đồ án
ELT3057|Truyền thông số và mã hóa
INT3216|Phân tích đánh giá hiệu năng hệ thống máy tính
EPN2051|Seminar và thảo luận nhóm về công nghệ nano và ứng dụng
EMA3094|Thủy động lực học - môi trường biển
EPN3024|Thiết bị quang tử
MAT1101|Xác suất thống kê
CTE2012|Kinh tế xây dựng
CTE2005|Sức bền vật liệu và Kết cấu
INT3403|Đồ họa máy tính
INE1050|Kinh tế vi mô
MAT1100|Tối ưu hóa
INT3011|Các vấn đề hiện đại của Khoa học Máy tính
PES1015|Bóng chuyền 1
EMA3118|Lý thuyết tấm và vỏ
INT3508|Thực tập chuyên ngành
INT3507|Các vấn đề hiện đại của Công nghệ thông tin
FLF2102|Tiếng Anh cơ sở 2
ELT3043|Truyền thông
EPN3020|Quang tử nanô
EMA3065|Điện tử công suất
EMA3042|Thiết kế khuôn mẫu
INT3303|Mạng không dây
ELT2028|Chuyên nghiệp trong công nghệ
INT3407|Tin sinh học
EMA2035|Kỹ thuật mô hình-mô phỏng
EMA2008|Cơ học chất lỏng
EMA3120|Động lực học trong công trình
EMA3109|Nhập môn khí động học thiết bị bay
ELT3168|Quản trị mạng viễn thông
EMA2023|Kỹ thuật số
INT3310|Quản trị mạng
ELT3102|Thực tập điện tử tương tự
PHY1103|Điện và Quang
INT3405|Học máy
EMA3121|Lý thuyết dẻo
AER3001|Kết cấu Hàng không
CTE2014|Cơ sở Kiến trúc
EET2004|Nguyên lý biến đổi năng lượng
INT2203|Cấu trúc dữ liệu và giải thuật
AER1001|Giới thiệu về Hàng không Vũ trụ
ELT2041|Điện tử số
EPN1096|Vật lý đại cương 2
EMA3105|Đồ án thủy động lực học-môi trường biển
INT3513|Phân tích và thiết kế thuật toán - Ứng dụng trong di động
EPN3017|Quang phổ chất rắn
ELT3067|Truyền thông quang
EMA2021|Linh kiện bán dẫn và vi mạch
EMA3106|Nhập môn công nghệ vũ trụ
INT1008|Nhập môn lập trình
EMA2028|Nhập môn công nghệ vi cơ điện tử
EPN1095|Vật lý đại cương 1
EPN3053|Kỹ thuật bảo vệ vật liệu và ứng dụng
INT3301|Thực hành hệ điều hành mạng
INT3110|Phân tích và thiết kế hướng đối tượng
EPN3038|Vật liệu quang tử hữu cơ nanô
INT3305|Truyền thông đa phương tiện
EET2008|Thực hành công nghiệp kỹ thuật năng lượng
EET2000|Các nguyên lý cơ bản trong hóa học
PHY1100|Cơ - Nhiệt
EET2013|Năng lượng tái tạo
EMA3093|Máy - thiết bị thủy khí và đồ án
ELT3047|Kiến trúc máy tính
EPN3039|Vật lý và công nghệ laser
EMA3107|Thí nghiệm đo đạc môi trường biển
ELT3073|Thiết kế và mô phỏng hệ thống điều khiển
EPN3016|Quang phi tuyến
INT3132|Dự án công nghệ
INT3220|Các vấn đề hiện đại của Hệ thống thông tin
ELT2035|Tín hiệu và hệ thống
EPN2027|Tin học vật lý
AGT2000|Nhập môn Công nghệ Nông nghiệp
ELT2030|Kỹ thuật điện
ELT3111|Hệ thống logic mờ
INT3304|Lập trình mạng
MAT1093|Đại số
ELT3163|Mạng truyền thông di động
INT2204|Lập trình hướng đối tượng
CTE3003|Kết cấu bê tông
EMA3084|Vi xử lý và vi điều khiển
INT3212|Xử lý dữ liệu thống kê
ELT3048|Hệ thống vi xử lý
ELT3103|Thực tập điện tử số
EMA2012|Sức bền vật liệu và cơ học kết cấu
